R,yc
8,3.3432
8,3.2346
8,3.4415
8,3.8291
8,4.3193
8,4.6217
8,4.8067
8,5.0028
8,5.2975
8,5.4167
4,5.5873
4,5.703
4,5.6097
4,5.6848
4,5.323
4,5.3013
4,5.2073
4,5.0068
4,4.8304
4,4.8183
8,4.6175
8,4.618
8,4.5234
8,4.9008
8,5.0108
8,5.306
8,5.4037
8,5.4937
8,5.703
8,5.7971
4,5.8859
4,5.9043
4,5.8953
4,5.7879
4,5.6047
4,5.5024
4,5.3055
4,5.3055
4,5.0234
4,4.9244
8,4.9166
8,4.7086
8,4.72
8,4.9205
8,5.2928
8,5.3018
8,5.4976
8,5.6898
8,5.6227
8,5.8906
8,5.9001
8,5.8807
8,6.0918
8,6.0869
8,6.0918
8,6.195
8,6.1999
8,6.1796
8,6.2882
8,6.2782
4,6.2882
4,6.2882
4,6.1999
4,6.1065
4,5.8859
4,5.8106
4,5.7172
4,5.4805
4,5.4167
4,5.2031
8,5.1091
8,5.0113
8,5.0028
8,5.224
8,5.3055
8,5.5783
8,5.6047
8,5.6943
8,5.8018
8,5.8996
4,5.984
4,6.0967
4,5.8906
4,5.9138
4,5.6807
4,5.6142
4,5.297
4,5.4124
4,5.1178
4,4.9988
8,4.9244
8,4.72
8,4.8144
8,4.9948
8,5.3098
8,5.306
8,5.502
8,5.6898
8,5.6938
8,5.919
4,5.8953
4,5.9692
4,5.9936
4,5.7035
4,5.703
4,5.6097
4,5.3951
4,5.2203
4,5.1214
4,4.9948
4,4.8221
4,4.7086
4,4.72
4,4.4393
4,4.4074
4,4.2313
4,4.2284
4,4.1268
4,4.0217
4,3.9304
4,3.7424
4,3.8256
4,3.6357
4,3.6323
4,3.5427
4,3.4388
4,3.5375
4,3.4333
4,3.2423
4,3.4443
4,3.2423
4,3.3352
4,3.2475
4,3.1466
4,3.2449
4,3.1416
4,3.2346
4,3.2475
4,3.1492
4,3.1416
8,3.1466
8,3.1466
8,3.3406
8,3.823
8,4.2246
8,4.4109
8,4.8299
8,5.0968
8,5.1912
8,5.4037
8,5.5113
8,5.6984
8,5.7971
8,5.7966
8,5.9888
8,5.9936
8,6.0918
8,6.0918
8,6.1109
8,6.2049
4,6.2682
4,6.1801
4,6.195
4,6.1016
4,5.8953
4,5.792
4,5.6097
4,5.4037
4,5.3103
4,5.3098
4,5.1091
4,4.9087
4,4.826
4,4.6254
4,4.6032
4,4.5234
4,4.425
4,4.2381
4,4.1169
4,4.0286
4,4.0281
4,3.9335
4,3.8317
4,3.7335
4,3.6445
4,3.6352
4,3.5314
4,3.4333
4,3.5432
4,3.4333
4,3.2501
